Disease,Diet
عدوى فطرية,"['نظام مضاد للفطريات', 'البروبيوتيك', 'الثوم', 'زيت جوز الهند', 'الكركم']"
حساسية,"['نظام الاستبعاد', 'أطعمة غنية بأوميغا 3', 'أطعمة غنية بفيتامين سي', 'أطعمة غنية بالكيرستين', 'البروبيوتيك']"
ارتجاع المريء,"['نظام منخفض الحموضة', 'أطعمة غنية بالألياف', 'الزنجبيل', 'العرقسوس', 'عصير الصبار']"
ركود الصفراء المزمن,"['نظام منخفض الدهون', 'نظام غني بالألياف', 'بروتينات قليلة الدهون', 'حبوب كاملة', 'فواكه وخضروات طازجة']"
تفاعل دوائي,"['نظام مضاد للهيستامين', 'أطعمة غنية بأوميغا 3', 'أطعمة غنية بفيتامين سي', 'أطعمة غنية بالكيرستين', 'البروبيوتيك']"
قرحة المعدة,"['نظام منخفض الحموضة', 'أطعمة غنية بالألياف', 'الزنجبيل', 'العرقسوس', 'عصير الصبار']"
الإيدز,"['نظام متوازن', 'أطعمة غنية بالبروتين', 'فواكه وخضروات', 'حبوب كاملة', 'دهون صحية']"
السكري,"['نظام منخفض مؤشر السكر', 'أطعمة غنية بالألياف', 'بروتينات قليلة الدهون', 'دهون صحية', 'منتجات ألبان قليلة الدسم']"
التهاب المعدة والأمعاء,"['نظام خفيف', 'موز', 'أرز', 'صلصة التفاح', 'خبز محمص']"
الربو الشعبي,"['نظام مضاد للالتهابات', 'أطعمة غنية بأوميغا 3', 'فواكه وخضروات', 'حبوب كاملة', 'بروتينات قليلة الدهون']"
ارتفاع ضغط الدم,"['نظام داش', 'أطعمة قليلة الصوديوم', 'فواكه وخضروات', 'حبوب كاملة', 'بروتينات قليلة الدهون']"
الصداع النصفي,"['نظام الصداع النصفي', 'نظام منخفض التيرامين', 'سحب الكافيين', 'ترطيب', 'أطعمة غنية بالمغنيسيوم']"
تآكل الفقرات العنقية,"['نظام التهاب المفاصل', 'نظام مضاد للالتهابات', 'أطعمة غنية بأوميغا 3', 'فواكه وخضروات', 'حبوب كاملة']"
الشلل (نزيف المخ),"['نظام صحي للقلب', 'أطعمة قليلة الصوديوم', 'فواكه وخضروات', 'حبوب كاملة', 'بروتينات قليلة الدهون']"
اليرقان,"['نظام صحي للكبد', 'نظام قليل الدهون', 'فواكه وخضروات', 'حبوب كاملة', 'بروتينات قليلة الدهون']"
الملاريا,"['نظام الملاريا', 'ترطيب', 'نظام عالي السعرات', 'أطعمة لينة وخفيفة', 'محاليل الإماهة الفموية']"
جدري الماء,"['نظام جدري الماء', 'نظام عالي السعرات', 'أطعمة لينة وخفيفة', 'ترطيب', 'أطعمة غنية بالبروتين']"
حمى الضنك,"['نظام حمى الضنك', 'ترطيب', 'نظام عالي السعرات', 'أطعمة لينة وخفيفة', 'أطعمة غنية بالبروتين']"
التيفوئيد,"['نظام التيفوئيد', 'نظام عالي السعرات', 'أطعمة لينة وخفيفة', 'ترطيب', 'أطعمة غنية بالبروتين']"
التهاب الكبد أ,"['نظام التهاب الكبد أ', 'نظام عالي السعرات', 'أطعمة لينة وخفيفة', 'ترطيب', 'أطعمة غنية بالبروتين']"
التهاب الكبد ب,"['نظام التهاب الكبد ب', 'نظام عالي السعرات', 'أطعمة لينة وخفيفة', 'ترطيب', 'أطعمة غنية بالبروتين']"
التهاب الكبد ج,"['نظام التهاب الكبد ج', 'نظام عالي السعرات', 'أطعمة لينة وخفيفة', 'ترطيب', 'أطعمة غنية بالبروتين']"
التهاب الكبد د,"['نظام التهاب الكبد د', 'نظام عالي السعرات', 'أطعمة لينة وخفيفة', 'ترطيب', 'أطعمة غنية بالبروتين']"
التهاب الكبد ه,"['نظام التهاب الكبد ه', 'نظام عالي السعرات', 'أطعمة لينة وخفيفة', 'ترطيب', 'أطعمة غنية بالبروتين']"
التهاب الكبد الكحولي,"['نظام صحي للكبد', 'نظام قليل الدهون', 'فواكه وخضروات', 'حبوب كاملة', 'بروتينات قليلة الدهون']"
السل,"['نظام السل', 'نظام عالي السعرات', 'أطعمة لينة وخفيفة', 'ترطيب', 'أطعمة غنية بالبروتين']"
نزلة البرد,"['نظام نزلات البرد', 'ترطيب', 'سوائل دافئة', 'راحة', 'شاي بالعسل والليمون']"
الالتهاب الرئوي,"['نظام الالتهاب الرئوي', 'نظام عالي السعرات', 'أطعمة لينة وخفيفة', 'ترطيب', 'أطعمة غنية بالبروتين']"
البواسير,"['نظام البواسير', 'نظام غني بالألياف', 'ترطيب', 'حمامات دافئة', 'ملينات البراز']"
النوبة القلبية,"['نظام صحي للقلب', 'أطعمة قليلة الصوديوم', 'فواكه وخضروات', 'حبوب كاملة', 'بروتينات قليلة الدهون']"
الدوالي,"['نظام الدوالي', 'نظام غني بالألياف', 'فواكه وخضروات', 'حبوب كاملة', 'أطعمة قليلة الصوديوم']"
قصور الغدة الدرقية,"['نظام قصور الغدة الدرقية', 'أطعمة غنية باليود', 'أطعمة غنية بالسيلينيوم', 'فواكه وخضروات', 'حبوب كاملة']"
فرط نشاط الغدة الدرقية,"['نظام فرط نشاط الغدة الدرقية', 'نظام قليل اليود', 'أطعمة غنية بالكالسيوم', 'أطعمة غنية بالسيلينيوم', 'فواكه وخضروات']"
نقص سكر الدم,"['نظام نقص سكر الدم', 'كربوهيدرات معقدة', 'وجبات خفيفة غنية بالبروتين', 'أطعمة غنية بالألياف', 'دهون صحية']"
التهاب المفاصل العظمي,"['نظام التهاب المفاصل', 'نظام مضاد للالتهابات', 'أطعمة غنية بأوميغا 3', 'فواكه وخضروات', 'حبوب كاملة']"
التهاب المفاصل,"['نظام التهاب المفاصل', 'نظام مضاد للالتهابات', 'أطعمة غنية بأوميغا 3', 'فواكه وخضروات', 'حبوب كاملة']"
الدوار الوضعي,"['نظام الدوار', 'نظام قليل الملح', 'ترطيب', 'شاي الزنجبيل', 'أطعمة غنية بفيتامين د']"
حب الشباب,"['نظام حب الشباب', 'نظام منخفض مؤشر السكر', 'ترطيب', 'فواكه وخضروات', 'البروبيوتيك']"
التهاب المسالك البولية,"['نظام التهاب المسالك البولية', 'ترطيب', 'عصير التوت البري', 'البروبيوتيك', 'أطعمة غنية بفيتامين سي']"
الصدفية,"['نظام الصدفية', 'نظام مضاد للالتهابات', 'أطعمة غنية بأوميغا 3', 'فواكه وخضروات', 'حبوب كاملة']"
القوباء,"['نظام القوباء', 'علاج بالمضادات الحيوية', 'فواكه وخضروات', 'ترطيب', 'أطعمة غنية بالبروتين']"
