,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
0,تفاعل دوائي,وقف التهيج,استشارة أقرب مستشفى,وقف تناول الدواء,المتابعة
1,الملاريا,استشارة أقرب مستشفى,تجنب الطعام الدهني,تجنب الطعام غير النباتي,إبعاد البعوض
2,حساسية,وضع كالامين,تغطية المنطقة بضمادة,,استخدام الثلج لتخفيف الحكة
3,قصور الغدة الدرقية,تقليل التوتر,ممارسة الرياضة,تناول طعام صحي,الحصول على نوم كافي
4,الصدفية,غسل اليدين بالماء الدافئ والصابون,وقف النزيف باستخدام الضغط,استشارة الطبيب,حمامات الملح
5,ارتجاع المريء,تجنب الطعام الدهني والحار,تجنب الاستلقاء بعد الأكل,الحفاظ على وزن صحي,ممارسة الرياضة
6,ركود الصفراء المزمن,حمامات باردة,دواء مضاد للحكة,استشارة الطبيب,تناول طعام صحي
7,التهاب الكبد أ,استشارة أقرب مستشفى,غسل اليدين جيداً,تجنب الطعام الدهني والحار,الدواء
8,التهاب المفاصل العظمي,أسيتامينوفين,استشارة أقرب مستشفى,المتابعة,حمامات الملح
9,الدوار الوضعي,الاستلقاء,تجنب التغير المفاجئ في الجسم,تجنب حركة الرأس المفاجئة,الاسترخاء
10,نقص سكر الدم,الاستلقاء على الجانب,فحص النبض,شرب مشروبات سكرية,استشارة الطبيب
11,حب الشباب,الاستحمام مرتين,تجنب الطعام الدهني والحار,شرب الكثير من الماء,تجنب استخدام منتجات كثيرة
12,السكري,اتباع نظام غذائي متوازن,ممارسة الرياضة,استشارة الطبيب,المتابعة
13,القوباء,نقع المنطقة المصابة في الماء الدافئ,استخدام المضادات الحيوية,إزالة القشور بقطعة قماش مبللة,استشارة الطبيب
14,ارتفاع ضغط الدم,التأمل,حمامات الملح,تقليل التوتر,الحصول على نوم كافي
15,قرحة المعدة,تجنب الطعام الدهني والحار,تناول الأطعمة البروبيوتيك,تجنب الحليب,الحد من الكحول
16,البواسير,تجنب الطعام الدهني والحار,استخدام نبات القطلب,حمام دافئ مع ملح إبسوم,تناول عصير الصبار
17,نزلة البرد,شرب مشروبات غنية بفيتامين سي,أخذ البخار,تجنب الطعام البارد,مراقبة الحمى
18,جدري الماء,استخدام النيم في الاستحمام,تناول أوراق النيم,أخذ اللقاح,تجنب الأماكن العامة
19,تآكل الفقرات العنقية,استخدام كمادات ساخنة أو باردة,ممارسة الرياضة,تناول مسكنات الألم,استشارة الطبيب
20,فرط نشاط الغدة الدرقية,تناول طعام صحي,التدليك,استخدام بلسم الليمون,تلقي علاج اليود المشع
21,التهاب المسالك البولية,شرب الكثير من الماء,زيادة تناول فيتامين سي,شرب عصير التوت البري,تناول البروبيوتيك
22,الدوالي,الاستلقاء ورفع الساق لأعلى,استخدام المراهم,استخدام ضاغط الأوردة,تجنب الوقوف لفترات طويلة
23,الإيدز,تجنب الجروح المفتوحة,ارتداء معدات الوقاية إن أمكن,استشارة الطبيب,المتابعة
24,الشلل (نزيف المخ),التدليك,تناول طعام صحي,ممارسة الرياضة,استشارة الطبيب
25,التيفوئيد,تناول خضروات عالية السعرات,العلاج بالمضادات الحيوية,استشارة الطبيب,الدواء
26,التهاب الكبد ب,استشارة أقرب مستشفى,التطعيم,تناول طعام صحي,الدواء
27,العدوى الفطرية,الاستحمام مرتين,استخدام ديتول أو النيم في ماء الاستحمام,الحفاظ على المنطقة المصابة جافة,استخدام ملابس نظيفة
28,التهاب الكبد ج,استشارة أقرب مستشفى,التطعيم,تناول طعام صحي,الدواء
29,الصداع النصفي,التأمل,تقليل التوتر,استخدام نظارات مستقطبة في الشمس,استشارة الطبيب
30,الربو الشعبي,التحول إلى ملابس فضفاضة,أخذ أنفاس عميقة,الابتعاد عن المسببات,طلب المساعدة
31,التهاب الكبد الكحولي,وقف تناول الكحول,استشارة الطبيب,الدواء,المتابعة
32,اليرقان,شرب الكثير من الماء,تناول شوك الحليب,تناول الفواكه والأطعمة الغنية بالألياف,الدواء
33,التهاب الكبد ه,وقف تناول الكحول,الراحة,استشارة الطبيب,الدواء
34,حمى الضنك,شرب عصير أوراق الببايا,تجنب الطعام الدهني والحار,إبعاد البعوض,الحفاظ على الترطيب
35,التهاب الكبد د,استشارة الطبيب,الدواء,تناول طعام صحي,المتابعة
36,النوبة القلبية,اتصل بالإسعاف,مضغ أو بلع الأسبرين,الحفاظ على الهدوء,
37,الالتهاب الرئوي,استشارة الطبيب,الدواء,الراحة,المتابعة
38,التهاب المفاصل,ممارسة الرياضة,العلاج بالحرارة والبرودة,تجربة الوخز بالإبر,التدليك
39,التهاب المعدة والأمعاء,التوقف عن تناول الطعام الصلب لفترة,محاولة شرب رشفات صغيرة من الماء,الراحة,العودة تدريجياً لتناول الطعام
40,السل,تغطية الفم,استشارة الطبيب,الدواء,الراحة
