,Unnamed: 0,disease,workout
0,0,عدوى فطرية,تجنب الأطعمة السكرية
1,1,عدوى فطرية,تناول البروبيوتيك
2,2,عدوى فطرية,زيادة تناول الثوم
3,3,عدوى فطرية,إضافة الزبادي إلى النظام الغذائي
4,4,عدوى فطرية,الحد من الأطعمة المصنعة
5,5,عدوى فطرية,الحفاظ على رطوبة الجسم
6,6,عدوى فطرية,تناول الشاي الأخضر
7,7,عدوى فطرية,تناول الأطعمة الغنية بالزنك
8,8,عدوى فطرية,إضافة الكركم إلى النظام الغذائي
9,9,عدوى فطرية,تناول الفواكه والخضروات
10,10,حساسية,تجنب الأطعمة المسببة للحساسية
11,11,حساسية,تناول الأطعمة المضادة للالتهابات
12,12,حساسية,إضافة أحماض أوميغا 3 الدهنية
13,13,حساسية,الحفاظ على رطوبة الجسم
14,14,حساسية,تناول الأطعمة الغنية بفيتامين سي
15,15,حساسية,إضافة الأطعمة الغنية بالكيرسيتين
16,16,حساسية,تناول العسل المحلي
17,17,حساسية,الحد من الأطعمة المصنعة
18,18,حساسية,إضافة الزنجبيل إلى النظام الغذائي
19,19,حساسية,تجنب الإضافات الاصطناعية
20,20,ارتجاع المريء,تناول وجبات أصغر
21,21,ارتجاع المريء,"تجنب الأطعمة المحفزة (الحارة، الدهنية)"
22,22,ارتجاع المريء,تناول الأطعمة الغنية بالألياف
23,23,ارتجاع المريء,الحد من الكافيين والكحول
24,24,ارتجاع المريء,مضغ الطعام جيدًا
25,25,ارتجاع المريء,تجنب الأكل في وقت متأخر من الليل
26,26,ارتجاع المريء,تناول الفواكه غير الحمضية
27,27,ارتجاع المريء,إضافة البروتينات الخالية من الدهون
28,28,ارتجاع المريء,الحفاظ على رطوبة الجسم
29,29,ارتجاع المريء,تجنب المشروبات الغازية
30,30,ركود الصفراء المزمن,تناول نظام غذائي قليل الدسم
31,31,ركود الصفراء المزمن,تناول الأطعمة الغنية بالألياف
32,32,ركود الصفراء المزمن,إضافة الدهون الصحية
33,33,ركود الصفراء المزمن,الحد من استهلاك الكحول
34,34,ركود الصفراء المزمن,الحفاظ على رطوبة الجسم
35,35,ركود الصفراء المزمن,تناول الأطعمة الغنية بمضادات الأكسدة
36,36,ركود الصفراء المزمن,إضافة أحماض أوميغا 3 الدهنية
37,37,ركود الصفراء المزمن,إضافة البروتينات الخالية من الدهون
38,38,ركود الصفراء المزمن,الحد من الأطعمة المصنعة
39,39,ركود الصفراء المزمن,تجنب الأطعمة المقلية
40,40,تفاعل دوائي,وقف الدواء المسبب للمشكلة
41,41,تفاعل دوائي,الحفاظ على رطوبة الجسم
42,42,تفاعل دوائي,إضافة الأطعمة المضادة للالتهابات
43,43,تفاعل دوائي,تناول مضادات الأكسدة
44,44,تفاعل دوائي,تجنب الأطعمة المحفزة
45,45,تفاعل دوائي,إضافة أحماض أوميغا 3 الدهنية
46,46,تفاعل دوائي,الحد من الكافيين والكحول
47,47,تفاعل دوائي,الحفاظ على رطوبة الجسم
48,48,تفاعل دوائي,تناول نظام غذائي متوازن
49,49,تفاعل دوائي,استشارة أخصائي الرعاية الصحية
50,50,قرحة المعدة,"تناول وجبات أصغر وأكثر تكرارًا"
51,51,قرحة المعدة,"تجنب الأطعمة المحفزة (الحارة، الحمضية)"
52,52,قرحة المعدة,إضافة الأطعمة الغنية بالألياف
53,53,قرحة المعدة,الحد من الكافيين والكحول
54,54,قرحة المعدة,الحفاظ على رطوبة الجسم
55,55,قرحة المعدة,تناول البروبيوتيك
56,56,قرحة المعدة,إضافة البروتينات الخالية من الدهون
57,57,قرحة المعدة,إضافة الأطعمة الغنية بمضادات الأكسدة
58,58,قرحة المعدة,الحد من الأطعمة المصنعة
59,59,قرحة المعدة,تجنب التدخين والكحول
60,60,الإيدز,اتباع نظام غذائي متوازن ومغذٍ
61,61,الإيدز,إضافة البروتينات الخالية من الدهون
62,62,الإيدز,تناول الأطعمة الغنية بالعناصر الغذائية
63,63,الإيدز,الحفاظ على رطوبة الجسم
64,64,الإيدز,إضافة الدهون الصحية
65,65,الإيدز,تجنب الأطعمة النيئة أو غير المطبوخة جيدًا
66,66,الإيدز,الحد من الأطعمة والمشروبات السكرية
67,67,الإيدز,تناول الأطعمة التي تعزز المناعة
68,68,الإيدز,تناول المكملات الموصوفة
69,69,الإيدز,استشارة أخصائي الرعاية الصحية
70,70,السكري,مراقبة تناول الكربوهيدرات
71,71,السكري,تناول وجبات متوازنة
72,72,السكري,إضافة البروتينات الخالية من الدهون
73,73,السكري,تناول الأطعمة الغنية بالألياف
74,74,السكري,الحفاظ على رطوبة الجسم
75,75,السكري,الحد من الأطعمة والمشروبات السكرية
76,76,السكري,إضافة الدهون الصحية
77,77,السكري,مراقبة مستويات السكر في الدم
78,78,السكري,استشارة اختصاصي تغذية مسجل
79,79,السكري,تناول الأدوية الموصوفة حسب التوجيهات
80,80,التهاب المعدة والأمعاء,الحفاظ على رطوبة الجسم
81,81,التهاب المعدة والأمعاء,تناول السوائل الصافية
82,82,التهاب المعدة والأمعاء,"اتباع نظام BRAT الغذائي (الموز، الأرز، عصير التفاح، الخبز المحمص)"
83,83,التهاب المعدة والأمعاء,إضافة الأطعمة الخفيفة
84,84,التهاب المعدة والأمعاء,تجنب الأطعمة الدهنية والدسمة
85,85,التهاب المعدة والأمعاء,الحد من الكافيين والكحول
86,86,التهاب المعدة والأمعاء,تجنب الأطعمة الحارة
87,87,التهاب المعدة والأمعاء,استشارة أخصائي الرعاية الصحية
88,88,التهاب المعدة والأمعاء,إعادة إدخال الأطعمة الصلبة تدريجيًا
89,89,التهاب المعدة والأمعاء,تجنب منتجات الألبان
90,90,الربو الشعبي,إضافة الأطعمة المضادة للالتهابات
91,91,الربو الشعبي,تناول أحماض أوميغا 3 الدهنية
92,92,الربو الشعبي,الحد من تناول الصوديوم
93,93,الربو الشعبي,الحفاظ على رطوبة الجسم
94,94,الربو الشعبي,إضافة الأطعمة الغنية بمضادات الأكسدة
95,95,الربو الشعبي,تجنب الأطعمة التي تحتوي على الكبريتيت
96,96,الربو الشعبي,الحد من الأطعمة المصنعة
97,97,الربو الشعبي,تناول الأطعمة الغنية بالمغنيسيوم
98,98,الربو الشعبي,استشارة أخصائي الرعاية الصحية
99,99,الربو الشعبي,تجنب الأطعمة المحفزة
100,100,ارتفاع ضغط الدم,اتباع نظام DASH الغذائي (النهج الغذائي لوقف ارتفاع ضغط الدم)
101,101,ارتفاع ضغط الدم,الحد من تناول الصوديوم
102,102,ارتفاع ضغط الدم,إضافة الأطعمة الغنية بالبوتاسيوم
103,103,ارتفاع ضغط الدم,الحفاظ على رطوبة الجسم
104,104,ارتفاع ضغط الدم,تناول الأطعمة الغنية بالكالسيوم
105,105,ارتفاع ضغط الدم,الحد من استهلاك الكحول
106,106,ارتفاع ضغط الدم,إضافة الأطعمة الغنية بالمغنيسيوم
107,107,ارتفاع ضغط الدم,تناول أحماض أوميغا 3 الدهنية
108,108,ارتفاع ضغط الدم,الحد من الأطعمة المصنعة
109,109,ارتفاع ضغط الدم,استشارة أخصائي الرعاية الصحية
110,110,الصداع النصفي,تحديد وتجنب الأطعمة المحفزة
111,111,الصداع النصفي,الحفاظ على رطوبة الجسم
112,112,الصداع النصفي,إضافة الأطعمة الغنية بالمغنيسيوم
113,113,الصداع النصفي,تناول أحماض أوميغا 3 الدهنية
114,114,الصداع النصفي,الحد من الكافيين والكحول
115,115,الصداع النصفي,تناول الأطعمة الغنية بالريبوفلافين
116,116,الصداع النصفي,الحد من الأطعمة المصنعة
117,117,الصداع النصفي,الحفاظ على أوقات وجبات منتظمة
118,118,الصداع النصفي,استشارة أخصائي الرعاية الصحية
119,119,الصداع النصفي,إدارة الإجهاد
120,120,تآكل الفقرات العنقية,إضافة الأطعمة المضادة للالتهابات
121,121,تآكل الفقرات العنقية,تناول أحماض أوميغا 3 الدهنية
122,122,تآكل الفقرات العنقية,إضافة الأطعمة الغنية بفيتامين د
123,123,تآكل الفقرات العنقية,الحفاظ على رطوبة الجسم
124,124,تآكل الفقرات العنقية,تناول الأطعمة الغنية بمضادات الأكسدة
125,125,تآكل الفقرات العنقية,الحد من الأطعمة المصنعة
126,126,تآكل الفقرات العنقية,إضافة البروتينات الخالية من الدهون
127,127,تآكل الفقرات العنقية,ممارسة وضعية جيدة
128,128,تآكل الفقرات العنقية,استشارة أخصائي الرعاية الصحية
